Listing files in s3://bos-ai-rtl-src-533335672315/rtl-sources/tt_20260221/...
Found 9465 RTL files
Batch 154: 7700/9465 triggered (success=7700, failed=0, rate=40.5/s, ETA=0.7min)
Batch 155: 7750/9465 triggered (success=7750, failed=0, rate=40.5/s, ETA=0.7min)
Batch 156: 7800/9465 triggered (success=7800, failed=0, rate=40.5/s, ETA=0.7min)
Batch 157: 7850/9465 triggered (success=7850, failed=0, rate=40.6/s, ETA=0.7min)
Batch 158: 7900/9465 triggered (success=7900, failed=0, rate=40.6/s, ETA=0.6min)
Batch 159: 7950/9465 triggered (success=7950, failed=0, rate=40.6/s, ETA=0.6min)
Batch 160: 8000/9465 triggered (success=8000, failed=0, rate=40.6/s, ETA=0.6min)
Batch 161: 8050/9465 triggered (success=8050, failed=0, rate=40.6/s, ETA=0.6min)
Batch 162: 8100/9465 triggered (success=8100, failed=0, rate=40.6/s, ETA=0.6min)
Batch 163: 8150/9465 triggered (success=8150, failed=0, rate=40.6/s, ETA=0.5min)
Batch 164: 8200/9465 triggered (success=8200, failed=0, rate=40.6/s, ETA=0.5min)
Batch 165: 8250/9465 triggered (success=8250, failed=0, rate=40.7/s, ETA=0.5min)
Batch 166: 8300/9465 triggered (success=8300, failed=0, rate=40.7/s, ETA=0.5min)
Batch 167: 8350/9465 triggered (success=8350, failed=0, rate=40.7/s, ETA=0.5min)
Batch 168: 8400/9465 triggered (success=8400, failed=0, rate=40.7/s, ETA=0.4min)
Batch 169: 8450/9465 triggered (success=8450, failed=0, rate=40.7/s, ETA=0.4min)
Batch 170: 8500/9465 triggered (success=8500, failed=0, rate=40.7/s, ETA=0.4min)
Batch 171: 8550/9465 triggered (success=8550, failed=0, rate=40.7/s, ETA=0.4min)
Batch 172: 8600/9465 triggered (success=8600, failed=0, rate=40.7/s, ETA=0.4min)
Batch 173: 8650/9465 triggered (success=8650, failed=0, rate=40.7/s, ETA=0.3min)
Batch 174: 8700/9465 triggered (success=8700, failed=0, rate=40.7/s, ETA=0.3min)
Batch 175: 8750/9465 triggered (success=8750, failed=0, rate=40.7/s, ETA=0.3min)
Batch 176: 8800/9465 triggered (success=8800, failed=0, rate=40.7/s, ETA=0.3min)
Batch 177: 8850/9465 triggered (success=8850, failed=0, rate=40.8/s, ETA=0.3min)
Batch 178: 8900/9465 triggered (success=8900, failed=0, rate=40.8/s, ETA=0.2min)
Batch 179: 8950/9465 triggered (success=8950, failed=0, rate=40.8/s, ETA=0.2min)
Batch 180: 9000/9465 triggered (success=9000, failed=0, rate=40.8/s, ETA=0.2min)
Batch 181: 9050/9465 triggered (success=9050, failed=0, rate=40.8/s, ETA=0.2min)
Batch 182: 9100/9465 triggered (success=9100, failed=0, rate=40.8/s, ETA=0.1min)
Batch 183: 9150/9465 triggered (success=9150, failed=0, rate=40.8/s, ETA=0.1min)
Batch 184: 9200/9465 triggered (success=9200, failed=0, rate=40.8/s, ETA=0.1min)
Batch 185: 9250/9465 triggered (success=9250, failed=0, rate=40.8/s, ETA=0.1min)
Batch 186: 9300/9465 triggered (success=9300, failed=0, rate=40.8/s, ETA=0.1min)
Batch 187: 9350/9465 triggered (success=9350, failed=0, rate=40.8/s, ETA=0.0min)
Batch 188: 9400/9465 triggered (success=9400, failed=0, rate=40.8/s, ETA=0.0min)
Batch 189: 9450/9465 triggered (success=9450, failed=0, rate=40.9/s, ETA=0.0min)
Batch 190: 9465/9465 triggered (success=9465, failed=0, rate=40.7/s, ETA=0.0min)

Done: 9465 succeeded, 0 failed
Total time: 3.9 min

Note: Lambda invocations are async. Actual parsing may take longer. Check CloudWatch logs for completion.
